camera_id,observed_at,plate_text,plate_normalised,plate_confidence,format_valid,frames_voted,vehicle_class,vehicle_colour
cam06,2026-09-23T10:43:30.246803+00:00,VUATT4H,VUATT4H,0.6032,False,4,motorcycle,gray
cam06,2026-09-23T10:43:31.526803+00:00,1,1,1.0000,False,1,motorcycle,gray
cam06,2026-09-23T10:43:32.006803+00:00,A4114,A4114,0.6132,False,3,motorcycle,blue
cam05,2026-09-23T10:43:29.952687+00:00,1,1,1.0000,False,1,car,red
cam06,2026-09-23T10:44:48.243384+00:00,T44114,T44114,0.4704,False,4,motorcycle,black
cam06,2026-09-23T10:45:50.230708+00:00,GY116X0,GY116X0,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:46:00.550708+00:00,GJ186755,GJ186755,0.7955,False,4,truck,blue
cam06,2026-09-23T10:47:06.830708+00:00,GJ11S792,GJ11S792,1.0000,False,1,bus,silver
cam05,2026-09-23T10:47:09.835321+00:00,___80,80,1.0000,False,1,bus,blue
cam05,2026-09-23T10:47:10.295321+00:00,___30,30,0.9344,False,3,car,red
cam06,2026-09-23T10:48:33.289528+00:00,11143255,11143255,0.7449,False,4,car,silver
cam06,2026-09-23T10:48:34.129528+00:00,G144383,G144383,0.6496,False,3,car,blue
cam06,2026-09-23T10:48:34.249528+00:00,L444V1,L444V1,0.6062,False,4,motorcycle,black
cam06,2026-09-23T10:48:34.289528+00:00,G341283,G341283,0.5987,False,5,car,white
cam06,2026-09-23T10:48:42.089528+00:00,G111CK70,G111CK70,0.9343,False,2,motorcycle,black
cam06,2026-09-23T10:48:42.129528+00:00,TF4A44A,TF4A44A,0.6829,False,2,motorcycle,blue
cam06,2026-09-23T10:48:42.209528+00:00,GJ11CK104,GJ11CK104,0.8509,False,4,motorcycle,black
cam06,2026-09-23T10:48:52.609528+00:00,61D50040,61D50040,1.0000,False,1,motorcycle,blue
cam06,2026-09-23T10:48:53.889528+00:00,1A144,1A144,0.7788,False,3,motorcycle,black
cam06,2026-09-23T10:48:54.009528+00:00,1A1444,1A1444,0.6856,False,4,motorcycle,blue
cam06,2026-09-23T10:48:55.489528+00:00,A411M41,A411M41,0.7914,False,3,motorcycle,blue
cam06,2026-09-23T10:43:30.286803+00:00,VUATI9H,VUATI9H,0.5600,False,5,motorcycle,gray
